Elevation,area,area_acc_sum,prop,prop_acc_sum,z,damage_curve
0.05,0.006522623,0.006522623,0.146020955,0.146020955,0,0
0.15,0.125060256,0.131582879,0.02014605,0.166167005,0.1,0.021451751
0.25,0.033123791,0.16470667,0.160913586,0.327080591,0.2,0.025284223
0.35,0.02021845,0.18492512,0.021194521,0.348275112,0.3,0.049908117
0.45,0.021500505,0.206425625,0.0049374,0.353212512,0.4,0.054956259
0.55,0.070047506,0.276473131,0.281125829,0.634338341,0.5,0.057719571
0.65,0.019492685,0.295965817,0.077050263,0.711388604,0.6,0.101059128
0.75,0.030998994,0.32696481,0.029491338,0.740879942,0.7,0.116067127
0.85,0.125160284,0.452125094,1.682212806,2.423092748,0.8,0.124496574
0.95,0.069276528,0.521401622,0.267713152,2.6908059,0.9,0.375838166
1.05,0.056880094,0.578281715,0.248293625,2.939099525,1,0.429360677
1.15,0.195238787,0.773520502,1.12975442,4.068853945,1.1,0.481447565
1.25,0.130412446,0.903932948,0.592723676,4.661577621,1.2,0.664289432
1.35,0.199281983,1.103214932,0.364347353,5.025924974,1.3,0.7747245
1.45,0.268962743,1.372177675,0.794748035,5.820673009,1.4,0.854788076
1.55,0.173535094,1.545712769,0.668219379,6.488892388,1.5,0.99981833
1.65,0.28234158,1.828054349,0.728111602,7.21700399,1.6,1.130501589
1.75,0.330345074,2.158399423,1.091713157,8.308717147,1.7,1.273369675
1.85,0.239113853,2.397513276,0.654987982,8.963705129,1.8,1.473299341
1.95,0.157803135,2.555316411,0.625331587,9.589036716,1.9,1.614779934
2.05,0.345037826,2.900354236,1.031869604,10.62090632,2,1.75486419
2.15,0.283790354,3.184144591,0.600616848,11.22152317,2.1,1.95733294
2.25,0.55624056,3.74038515,1.200326385,12.42184955,2.2,2.101410173
2.35,0.580485585,4.320870736,1.676885359,14.09873491,2.3,2.335816892
2.45,0.439218665,4.7600894,0.723111834,14.82184675,2.4,2.645903734
2.55,0.232683795,4.992773196,0.718144844,15.53999159,2.5,2.824205954
2.65,0.256051861,5.248825056,1.420010328,16.96000192,2.6,3.00418403
2.75,0.319876088,5.568701145,1.030600466,17.99060238,2.7,3.28946387
2.85,0.244941818,5.813642963,0.587837788,18.57844017,2.8,3.523731903
2.95,0.563717346,6.377360309,1.181410267,19.75985044,2.9,3.696581033
3.05,0.159527426,6.536887735,0.47051072,20.23036116,3,3.957379778
3.15,0.11811815,6.655005885,0.283990584,20.51435174,3.1,4.117823389
3.25,0.715637792,7.370643677,2.146538378,22.66089012,3.2,4.250441508
3.35,0.276180274,7.646823951,1.161717162,23.82260728,3.3,4.654920298
3.45,1.054220538,8.701044489,0.601031902,24.42363919,3.4,4.923871782
3.55,0.210426694,8.911471183,1.141585251,25.56522444,3.5,5.113383056
3.65,0.25874033,9.170211513,1.174357172,26.73958161,3.6,5.381588048
3.75,0.308326747,9.47853826,0.533205601,27.27278721,3.7,5.656847243
3.85,0.237715442,9.716253702,0.54082702,27.81361423,3.8,5.840038942
3.95,0.361819914,10.07807362,1.24187538,29.05548961,3.9,6.022315368
4.05,0.160957031,10.23903065,0.414241079,29.46973069,4,6.30529463
4.15,0.1941842,10.43321485,0.747952777,30.21768347,4.1,6.468286777
4.25,0.25955257,10.69276742,0.944956009,31.16263947,4.2,6.676604328
4.35,0.20869189,10.90145931,0.614939736,31.77757921,4.3,6.911844826
4.45,0.19267817,11.09413748,0.717485174,32.49506438,4.4,7.097423915
4.55,0.979944412,12.07408189,1.293538204,33.78860259,4.5,7.294558288
4.65,0.621904593,12.69598648,0.304640296,34.09324288,4.6,7.573076512
4.75,0.250480387,12.94646687,0.650384485,34.74362737,4.7,7.706157823
4.85,0.266531913,13.21299878,0.834543194,35.57817056,4.8,7.883559899
4.95,0.148117422,13.3611162,0.677551093,36.25572166,4.9,8.083257367
5.05,0.157083859,13.51820006,0.488045345,36.743767,5,8.255854981
5.15,0.217948916,13.73614898,0.607530328,37.35129733,,
5.25,0.163014019,13.899163,0.300226237,37.65152357,,
5.35,0.230108796,14.12927179,0.529398736,38.1809223,,
5.45,0.198681325,14.32795312,1.072843459,39.25376576,,
5.55,1.010522121,15.33847524,0.619549353,39.87331511,,
5.65,0.185537915,15.52401316,0.54637987,40.41969498,,
5.75,0.218582987,15.74259614,0.816075907,41.23577089,,
5.85,0.125895354,15.8684915,0.254698507,41.4904694,,
5.95,0.132588269,16.00107977,0.549351266,42.03982066,,
6.05,0.253642078,16.25472184,0.746971513,42.78679218,,
6.15,0.178130878,16.43285272,0.455398948,43.24219113,,
6.25,0.251382939,16.68423566,0.452041594,43.69423272,,
6.35,0.271226872,16.95546253,1.010888053,44.70512077,,
6.45,0.155020204,17.11048274,0.564660178,45.26978095,,
6.55,0.142932623,17.25341536,0.483587865,45.75336882,,
6.65,0.1931095,17.44652486,0.98394685,46.73731567,,
6.75,0.125004512,17.57152937,0.529929563,47.26724523,,
6.85,0.144748892,17.71627826,0.571632729,47.83887796,,
6.95,0.211677088,17.92795535,0.886800438,48.7256784,,
7.05,0.181359814,18.10931517,0.813732649,49.53941104,,
7.15,0.133925649,18.24324081,0.492139737,50.03155078,,
7.25,0.180848005,18.42408882,0.886804682,50.91835546,,
7.35,0.172501808,18.59659063,0.698117579,51.61647304,,
7.45,0.144850393,18.74144102,0.596854167,52.21332721,,
7.55,0.204407597,18.94584862,0.988955483,53.20228269,,
7.65,0.173731749,19.11958037,0.640184606,53.8424673,,
7.75,0.152156797,19.27173716,0.847241909,54.68970921,,
7.85,0.159365711,19.43110287,1.023918275,55.71362748,,
7.95,0.116511353,19.54761423,0.489377526,56.20300501,,
8.05,0.13700911,19.68462334,0.396228865,56.59923387,,
8.15,0.170639115,19.85526245,0.796227418,57.39546129,,
8.25,0.16777444,20.02303689,0.750917436,58.14637873,,
8.35,0.110152644,20.13318954,0.376245289,58.52262402,,
8.45,0.17035499,20.30354453,0.968395074,59.49101909,,
8.55,0.098445789,20.40199032,0.778011068,60.26903016,,
8.65,0.130608143,20.53259846,0.520373906,60.78940406,,
8.75,0.233388713,20.76598717,1.544342685,62.33374675,,
8.85,0.156792621,20.92277979,1.003334447,63.3370812,,
8.95,0.134159702,21.0569395,1.000757232,64.33783843,,
9.05,0.165625981,21.22256548,1.296435292,65.63427372,,
9.15,0.151308135,21.37387361,0.88684858,66.5211223,,
9.25,0.093960222,21.46783383,0.475986876,66.99710918,,
9.35,0.249228989,21.71706282,1.294116242,68.29122542,,
9.45,0.185559875,21.9026227,0.886920276,69.17814569,,
9.55,0.083555892,21.98617859,0.52086813,69.69901382,,
9.65,0.166567018,22.15274561,1.613421275,71.3124351,,
9.75,0.142228034,22.29497364,1.086844001,72.3992791,,
9.85,0.072350488,22.36732413,0.436482333,72.83576143,,
9.95,0.177705857,22.54502999,1.55082179,74.38658322,,
10.05,0.149812225,22.69484221,1.452344696,75.83892792,,
10.15,0.10981222,22.80465443,0.536731832,76.37565975,,
10.25,0.145762236,22.95041667,1.299080767,77.67474052,,
10.35,0.137642383,23.08805905,1.185073685,78.8598142,,
